symbol,smiles,cxsmiles,monomer_type
X522,N[C@H](C=O)CC1CCCCC1,[*]N[C@@H](CC1CCCCC1)C=O |$_R1;;;;;;;;;;;$|,Backbone
X645,CC(=O)NC(=O)[C@H](N)CS,CC(=O)NC(=O)[C@@H](CS[*])N[*] |$;;;;;;;;;_R3;;_R1$|,Backbone
X457,COC(=O)[C@@H](N)COC(=O)c1ccc(OC)cc1,COC(=O)[C@H](COC(=O)c1ccc(OC)cc1)N[*] |$;;;;;;;;;;;;;;;;;;_R1$|,Backbone
X2898,NS(=O)(=O)c1ccc(NC(=S)N[C@H](C=O)CC(=O)O)cc1,NS(=O)(=O)c1ccc(NC(=S)N[C@@H](CC(O)=O)C([*])=O)cc1 |$;;;;;;;;;;;;;;;;;;_R2;;;$|,Backbone
X3020,O=C[C@@H]1C[C@@H](Cc2ccc(Cl)cc2)CN1,Clc1ccc(C[C@@H]2C[C@H](N([*])C2)C([*])=O)cc1 |$;;;;;;;;;;_R1;;;_R2;;;$|,Backbone
X3010,N[C@@H](C=O)Cc1ccc(F)c(F)c1,Fc1ccc(C[C@@H](N[*])C([*])=O)cc1F |$;;;;;;;;_R1;;_R2;;;;$|,Backbone
X2894,N=C(NCCC[C@H](N)C=O)NCc1ccccc1,"[*]N[C@@H](CCCNC(=N)NCc1ccccc1)C([*])=O |w:9.9,$_R1;;;;;;;;;;;;;;;;;;_R2;$|",Backbone
X2874,CC(C)C[C@@H](C=O)NC(=O)OC[C@@H](COS(=O)(=O)O)OS(=O)(=O)O,CC(C)C[C@H](NC(=O)OC[C@@H](COS(O)(=O)=O)OS(O)(=O)=O)C([*])=O |$;;;;;;;;;;;;;;;;;;;;;;;_R2;$|,Backbone
X2502,CC(=O)[C@H](Cc1c[nH]c2ccccc12)N[C@H](C=O)Cc1ccccc1,CC(=O)[C@H](Cc1c[nH]c2ccccc12)N[C@@H](Cc1ccccc1)C([*])=O |$;;;;;;;;;;;;;;;;;;;;;;;;_R2;$|,Backbone
X2545,CC(C)(C)c1cc(C[C@H](N)C=O)ccc1O,CC(C)(C)c1cc(C[C@H](N[*])C([*])=O)ccc1O |$;;;;;;;;;;_R1;;_R2;;;;;$|,Backbone
X2504,Cc1cn([C@@H]2CN[C@H](C=O)C2)c(=O)[nH]c1=O,Cc1cn([C@H]2C[C@H](N([*])C2)C([*])=O)c(=O)[nH]c1=O |$;;;;;;;;_R1;;;_R2;;;;;;$|,Backbone
