symbol,smiles,cxsmiles,monomer_type
X1698,NCCCCCNC(=O)O[C@@H]1C[C@H](N(H)C1)C(H)=O,NCCCCCNC(=O)O[C@@H]1C[C@H](N([*])C1)C([*])=O |$;;;;;;;;;;;;;;_R1;;;_R2;$|,Backbone
X603,HN[C@H](CC#C)C(H)=O,[*]N[C@H](CC#C)C([*])=O |$_R1;;;;;;;_R2;$|,Backbone
Boc_I,CC[C@H](C)[C@H](NC(=O)OC(C)(C)C)C(H)=O,CC[C@H](C)[C@H](NC(=O)OC(C)(C)C)C([*])=O |$;;;;;;;;;;;;;;_R2;$|,Backbone
dNva_OMe,CCC[C@@H](NH)C(=O)OC,CCC[C@@H](N[*])C(=O)OC |$;;;;;_R1;;;;$|,Backbone
X1520,OC(=O)[C@@H](CCC(=O)[CH-][N+]#N)NH,OC(=O)[C@@H](CCC(=O)[CH-][N+]#N)N[*] |$;;;;;;;;;;;;_R1$|,Backbone
X1605,C[C@H](NC(N)=N)C(H)=O,C[C@H](NC(N)=N)C([*])=O |$;;;;;;;_R2;$|,Backbone
X2595,NC(=N)NCCCC[C@H](NH)C(=O)c1nc2ccccc2s1,NC(=N)NCCCC[C@H](N[*])C(=O)c1nc2ccccc2s1 |$;;;;;;;;;;_R1;;;;;;;;;;;$|,Backbone
X2608,COc1ccc2oc(nc2c1)C(=O)[C@@H](NH)C(C)C,COc1ccc2oc(nc2c1)C(=O)[C@@H](N[*])C(C)C |$;;;;;;;;;;;;;;;_R1;;;$|,Backbone
X2606,COc1ccc(C[C@H](N[C@@H](Cc2ccccc2)C(H)=O)C(=O)CC2(CCC(CC2)c2ccccc2)SH)cc1,COc1ccc(C[C@H](N[C@@H](Cc2ccccc2)C([*])=O)C(=O)CC2(CCC(CC2)c2ccccc2)S[*])cc1 |$;;;;;;;;;;;;;;;;;;_R2;;;;;;;;;;;;;;;;;;_R3;;$|,Backbone
X2712,COc1ccc2C[C@H](N(C)C(=O)[C@H](Cc3ccc(Oc1c2)cc3)N(C)H)C(=S)N[C@H](C)C(H)=O,COc1ccc2C[C@H](N(C)C(=O)[C@H](Cc3ccc(Oc1c2)cc3)N(C)[*])C(=S)N[C@H](C)C([*])=O |$;;;;;;;;;;;;;;;;;;;;;;;;;_R1;;;;;;;_R2;$|,Backbone
X2732,Oc1ccc(C[C@H](NNCC(=O)[C@@H]2CCCN2H)C(H)=O)cc1,Oc1ccc(C[C@H](NNCC(=O)[C@@H]2CCCN2[*])C([*])=O)cc1 |$;;;;;;;;;;;;;;;;;_R1;;_R2;;;$|,Backbone
Cbz_Thr(tBu),C[C@@H](OC(C)(C)C)[C@H](NC(=O)OCc1ccccc1)C(H)=O,C[C@@H](OC(C)(C)C)[C@H](NC(=O)OCc1ccccc1)C([*])=O |$;;;;;;;;;;;;;;;;;;;;_R2;$|,Backbone
X2729,OCCCNCC(H)=O,OCCCNCC([*])=O |$;;;;;;;_R2;$|,Backbone
X2311,CC(C)C[C@H](NC(=O)N1CCC[C@H]1C(C)=O)C(H)=O,CC(C)C[C@H](NC(=O)N1CCC[C@H]1C(C)=O)C([*])=O |$;;;;;;;;;;;;;;;;;_R2;$|,Backbone
X2330,C[C@H](NC(=O)N1CCC[C@H]1C(H)=O)C(=O)NC(=O)CNH,C[C@H](NC(=O)N1CCC[C@H]1C([*])=O)C(=O)NC(=O)CN[*] |$;;;;;;;;;;;_R2;;;;;;;;;_R1$|,Backbone
X2447,CC(C)[C@H](NH)C(=O)c1ccc(cc1)C(F)(F)F,CC(C)[C@H](N[*])C(=O)c1ccc(cc1)C(F)(F)F |$;;;;;_R1;;;;;;;;;;;;$|,Backbone
X2387,Brc1[nH]c2ccccc2c1C[C@@H](NH)C(H)=O,Brc1[nH]c2ccccc2c1C[C@@H](N[*])C([*])=O |$;;;;;;;;;;;;;_R1;;_R2;$|,Backbone
X2400,C[C@H](O)[C@@H](Nc1cccc(CCSC[C@H](NH)C(O)=O)c1)C(H)=O,C[C@H](O)[C@@H](Nc1cccc(CCSC[C@H](N[*])C(O)=O)c1)C([*])=O |$;;;;;;;;;;;;;;;;_R1;;;;;;_R2;$|,Backbone
X2407,HC(=O)[C@H](CSH)NCC(=O)c1ccccc1,[*]C(=O)[C@H](CS[*])NCC(=O)c1ccccc1 |$_R2;;;;;;_R3;;;;;;;;;;$|,Backbone
X2440,HN1CCSC[C@@H]1C(H)=O,[*]N1CCSC[C@@H]1C([*])=O |$_R1;;;;;;;;_R2;$|,Backbone
X2288,C[C@@H](O)[C@@H](NC(=O)OCC1c2ccccc2-c2ccccc12)C(H)=O,C[C@@H](O)[C@@H](NC(=O)OCC1c2ccccc2-c2ccccc12)C([*])=O |$;;;;;;;;;;;;;;;;;;;;;;;_R2;$|,Backbone
X2340,C[C@H](O)[C@@H](NH)C(=O)CN[C@@H](C)C(H)=O,C[C@H](O)[C@@H](N[*])C(=O)CN[C@@H](C)C([*])=O |$;;;;;_R1;;;;;;;;_R2;$|,Backbone
X641,N[C@H]1C[C@H](N(H)C1)C(H)=O,N[C@H]1C[C@H](N([*])C1)C([*])=O |$;;;;;_R1;;;_R2;$|,Backbone
X451,C[C@@H](OS(O)(=O)=O)[C@H](NH)C(H)=O,C[C@@H](OS(O)(=O)=O)[C@H](N[*])C([*])=O |$;;;;;;;;;_R1;;_R2;$|,Backbone
X466,Cc1ccc(cc1)S(=O)(=O)N[C@@H](Cc1ccccc1)C(H)=O,Cc1ccc(cc1)S(=O)(=O)N[C@@H](Cc1ccccc1)C([*])=O |$;;;;;;;;;;;;;;;;;;;;_R2;$|,Backbone
X593,HN[C@@H](CC1CCCNC1)C(H)=O,[*]N[C@@H](CC1CCCNC1)C([*])=O |$_R1;;;;;;;;;;;_R2;$|,Backbone
X657,HN[C@@H](CCc1nnn[nH]1)C(H)=O,[*]N[C@@H](CCc1nnn[nH]1)C([*])=O |$_R1;;;;;;;;;;;_R2;$|,Backbone
X539,NS(=O)(=O)c1ccc(C[C@H](NH)C(H)=O)cc1,NS(=O)(=O)c1ccc(C[C@H](N[*])C([*])=O)cc1 |$;;;;;;;;;;;_R1;;_R2;;;$|,Backbone
X485,CCOC(=O)[C@H](CCCc1ccccc1)NH,CCOC(=O)[C@H](CCCc1ccccc1)N[*] |$;;;;;;;;;;;;;;;;_R1$|,Backbone
X761,HN[C@H](C1Cc2ccccc2C1)C(H)=O,[*]N[C@H](C1Cc2ccccc2C1)C([*])=O |$_R1;;;;;;;;;;;;;_R2;$|,Backbone
X490,HN1C2CCC1(CC2)C(H)=O,[*]N1C2CCC1(CC2)C([*])=O |$_R1;;;;;;;;;_R2;$|,Backbone
X764,OS(=O)(=O)N[C@@H](Cc1ccccc1)C(H)=O,OS(=O)(=O)N[C@@H](Cc1ccccc1)C([*])=O |$;;;;;;;;;;;;;;_R2;$|,Backbone
L_Me,CC(C)C[C@H](NH)C(C)=O,CC(C)C[C@H](N[*])C(C)=O |$;;;;;;_R1;;;$|,Backbone
X612,OC(=O)Cc1ccc(C[C@H](NH)C(H)=O)cc1O,OC(=O)Cc1ccc(C[C@H](N[*])C([*])=O)cc1O |$;;;;;;;;;;;_R1;;_R2;;;;$|,Backbone
X446,N[C@H]1C[C@@H]1CC[C@H](NH)C(H)=O,N[C@H]1C[C@@H]1CC[C@H](N[*])C([*])=O |$;;;;;;;;_R1;;_R2;$|,Backbone
X524,COc1cccc(C[C@H](NH)C(H)=O)c1,COc1cccc(C[C@H](N[*])C([*])=O)c1 |$;;;;;;;;;;_R1;;_R2;;$|,Backbone
X649,CC(C)[C@H](NC(=O)OC1CCCC1)C(H)=O,CC(C)[C@H](NC(=O)OC1CCCC1)C([*])=O |$;;;;;;;;;;;;;;_R2;$|,Backbone
X2860,CCC[C@@H]1CCN(H)[C@@H]1C(H)=O,CCC[C@@H]1CCN([*])[C@@H]1C([*])=O |$;;;;;;;_R1;;;_R2;$|,Backbone
X3003,HN1C[C@@H](C[C@@H]1C(H)=O)n1cc(CCc2ccccc2)nn1,[*]N1C[C@@H](C[C@@H]1C([*])=O)n1cc(CCc2ccccc2)nn1 |$_R1;;;;;;;_R2;;;;;;;;;;;;;;$|,Backbone
X3018,Fc1ccc(C[C@H](NH)C(H)=O)c(F)c1,Fc1ccc(C[C@H](N[*])C([*])=O)c(F)c1 |$;;;;;;;;_R1;;_R2;;;;$|,Backbone
X3015,CCCCCCCCCCCCCCCC(=O)NC(=O)CC[C@H](N)C(H)=O,CCCCCCCCCCCCCCCC(=O)NC(=O)CC[C@H](N)C([*])=O |$;;;;;;;;;;;;;;;;;;;;;;;;;_R2;$|,Backbone
X3009,HN1[C@@H]2C[C@@H]2C[C@H]1C(H)=O,[*]N1[C@@H]2C[C@@H]2C[C@H]1C([*])=O |$_R1;;;;;;;;_R2;$|,Backbone
X3028,CCNC(=S)NCCCC[C@H](NH)C(H)=O,CCNC(=S)NCCCC[C@H](N[*])C([*])=O |$;;;;;;;;;;;;_R1;;_R2;$|,Backbone
dPhe(3-CN),HN[C@H](Cc1cccc(c1)C#N)C(H)=O,[*]N[C@H](Cc1cccc(c1)C#N)C([*])=O |$_R1;;;;;;;;;;;;;_R2;$|,Backbone
X2863,OC(=O)c1ccc(cc1)S(=O)(=O)N[C@@H](Cc1ccccc1)C(H)=O,OC(=O)c1ccc(cc1)S(=O)(=O)N[C@@H](Cc1ccccc1)C([*])=O |$;;;;;;;;;;;;;;;;;;;;;;_R2;$|,Backbone
X2881,CC(C)C[C@H](NC(=O)NC[C@H](O)CO)C(H)=O,CC(C)C[C@H](NC(=O)NC[C@H](O)CO)C([*])=O |$;;;;;;;;;;;;;;;_R2;$|,Backbone
X2878,Cc1cc(C[C@@H](NH)C(H)=O)cc(C)c1O,Cc1cc(C[C@@H](N[*])C([*])=O)cc(C)c1O |$;;;;;;;_R1;;_R2;;;;;;$|,Backbone
X2875,Cc1ccc(cc1)S(=O)(=O)NCC(H)=O,Cc1ccc(cc1)S(=O)(=O)NCC([*])=O |$;;;;;;;;;;;;;_R2;$|,Backbone
X2543,N[C@@H](Cc1ccc(O)c(Oc2ccc(C[C@H](NH)C(O)=O)cc2)c1)C(H)=O,N[C@@H](Cc1ccc(O)c(Oc2ccc(C[C@H](N[*])C(O)=O)cc2)c1)C([*])=O |$;;;;;;;;;;;;;;;;;_R1;;;;;;;;_R2;$|,Backbone
X2497,NC(=N)N1CCC(C[C@@H](NS(=O)(=O)Cc2ccccc2)C(H)=O)CC1,NC(=N)N1CCC(C[C@@H](NS(=O)(=O)Cc2ccccc2)C([*])=O)CC1 |$;;;;;;;;;;;;;;;;;;;;;_R2;;;$|,Backbone
Hph_OBzl,HN[C@@H](CCc1ccccc1)C(=O)OCc1ccccc1,[*]N[C@@H](CCc1ccccc1)C(=O)OCc1ccccc1 |$_R1;;;;;;;;;;;;;;;;;;;;$|,Backbone
X2508,COC(=O)Cn1cc(C[C@H](NH)C(H)=O)c2ccccc12,COC(=O)Cn1cc(C[C@H](N[*])C([*])=O)c2ccccc12 |$;;;;;;;;;;;_R1;;_R2;;;;;;;$|,Backbone
X1582,C[C@H](NH)C(=O)OCCCCc1ccccc1,C[C@H](N[*])C(=O)OCCCCc1ccccc1 |$;;;_R1;;;;;;;;;;;;;$|,Backbone
X629,CCCCNC(=N)NCCCC[C@@H](NH)C(H)=O,CCCCNC(=N)NCCCC[C@@H](N[*])C([*])=O |$;;;;;;;;;;;;;;_R1;;_R2;$|,Backbone
X1354,CCCN(CCC)[C@@H](Cc1ccc(O)cc1)C(H)=O,CCCN(CCC)[C@@H](Cc1ccc(O)cc1)C([*])=O |$;;;;;;;;;;;;;;;;;_R2;$|,Backbone
X43,HN1C[C@@H](C[C@H]1C(H)=O)Oc1cccc(c1)-c1ccccc1,[*]N1C[C@@H](C[C@H]1C([*])=O)Oc1cccc(c1)-c1ccccc1 |$_R1;;;;;;;_R2;;;;;;;;;;;;;;$|,Backbone
X2215,NC(=N)c1cccc(C[C@H](NH)C(=O)c2nc3ccccc3s2)c1,NC(=N)c1cccc(C[C@H](N[*])C(=O)c2nc3ccccc3s2)c1 |$;;;;;;;;;;;_R1;;;;;;;;;;;;$|,Backbone
X2234,NC(=N)NCCC[C@H](NH)C(=O)c1cc2ccccc2s1,NC(=N)NCCC[C@H](N[*])C(=O)c1cc2ccccc2s1 |$;;;;;;;;;_R1;;;;;;;;;;;$|,Backbone
dH,HN[C@H](Cc1cnc[nH]1)C(H)=O,[*]N[C@H](Cc1cnc[nH]1)C([*])=O |$_R1;;;;;;;;;;_R2;$|,Backbone
K,HN[C@@H](CCCCNH)C(H)=O,[*]N[C@@H](CCCCN[*])C([*])=O |$_R1;;;;;;;;_R3;;_R2;$|,Backbone
L,CC(C)C[C@H](NH)C(H)=O,CC(C)C[C@H](N[*])C([*])=O |$;;;;;;_R1;;_R2;$|,Backbone
X716,OC(=O)[C@@H](NH)c1csc2ccccc12,OC(=O)[C@@H](N[*])c1csc2ccccc12 |$;;;;;_R1;;;;;;;;;$|,Backbone
