symbol,smiles,cxsmiles,monomer_type
X1821,CCCC=C(C)[C@@H](O)[C@H](N(C)H)C(H)=O;;;;;;;;;;;;;;,"CCCC=C(C)[C@@H](O)[C@H](N(C)[*])C([*])=O |w:3.2,$;;;;;;;;;;;_R1;;_R2;$|",Backbone
X2812,CC(=O)N([C@H](Cc1cccs1)C(H)=O)C(=O)C=Cc1ccccc1;;;;;;;;;;;;;;;;;;;;;;;,"CC(=O)N([C@H](Cc1cccs1)C([*])=O)C(=O)C=Cc1ccccc1 |w:16.16,$;;;;;;;;;;;;_R2;;;;;;;;;;;$|",Backbone
X2905,CC(=O)N([C@H](CC1CCCCC1)C(H)=O)C(=O)C=Cc1ccccc1;;;;;;;;;;;;;;;;;;;;;;;;,"CC(=O)N([C@H](CC1CCCCC1)C([*])=O)C(=O)C=Cc1ccccc1 |w:17.17,$;;;;;;;;;;;;;_R2;;;;;;;;;;;$|",Backbone
X2102,CC=CC[C@@H](C)C(=O)[C@H](N(C)H)C(H)=O;;;;;;;;;;;;;;,"CC=CC[C@@H](C)C(=O)[C@H](N(C)[*])C([*])=O |w:1.0,$;;;;;;;;;;;_R1;;_R2;$|",Backbone
X1405,CN(C)C(=NCC(H)=O)N(C)C;;;;;;;;;;;,"CN(C)C(=NCC([*])=O)N(C)C |w:4.4,$;;;;;;;_R2;;;;$|",Backbone
X691,COC1=CC(=O)N([C@H]1Cc1ccccc1)C(=O)[C@@H](OC(=O)[C@@H]1CCCN1H)C(C)C,"COC1=CC(=O)N([C@H]1Cc1ccccc1)C(=O)[C@@H](OC(=O)[C@@H]1CCCN1[*])C(C)C |$;;;;;;;;;;;;;;;;;;;;;;;;;;_R1;;;$,t:2|",Backbone
X465,HN1CC=CC[C@H]1C(H)=O,"[*]N1CC=CC[C@H]1C([*])=O |$_R1;;;;;;;;_R2;$,c:3|",Backbone
X2861,CC(=O)N([C@@H](Cc1ccc(F)cc1)C(H)=O)C(=O)C=Cc1ccc(N)cc1;;;;;;;;;;;;;;;;;;;;;;;;;;,"CC(=O)N([C@@H](Cc1ccc(F)cc1)C([*])=O)C(=O)C=Cc1ccc(N)cc1 |w:18.18,$;;;;;;;;;;;;;;_R2;;;;;;;;;;;;$|",Backbone
X2868,CSCC[C@H](NH)C(=O)C=CS(=O)(=O)c1ccccc1;;;;;;;;;;;;;;;;;;;,"CSCC[C@H](N[*])C(=O)C=CS(=O)(=O)c1ccccc1 |w:9.8,$;;;;;;_R1;;;;;;;;;;;;;$|",Backbone
X1761,COCCCC=C(C)[C@@H](O)[C@H](N(C)H)C(H)=O;;;;;;;;;;;;;;;;,"COCCCC=C(C)[C@@H](O)[C@H](N(C)[*])C([*])=O |w:5.4,$;;;;;;;;;;;;;_R1;;_R2;$|",Backbone
X30,CC(C)N=C(NCCCC[C@@H](NH)C(H)=O)NC#N;;;;;;;;;;;;;;;;;;,"CC(C)N=C(NCCCC[C@@H](N[*])C([*])=O)NC#N |w:3.2,$;;;;;;;;;;;;_R1;;_R2;;;;$|",Backbone
X2849,HN[C@@H](CC1=CCC=CC1)C(H)=O,"[*]N[C@@H](CC1=CCC=CC1)C([*])=O |$_R1;;;;;;;;;;;_R2;$,c:7,t:4|",Backbone
X504,HN[C@@H](CCCCNC1=NCCCN1)C(H)=O,"[*]N[C@@H](CCCCNC1=NCCCN1)C([*])=O |$_R1;;;;;;;;;;;;;;;_R2;$,t:8|",Backbone
X2304,CC[C@H](C)[C@@H](N)C1=N[C@H](CS1)C(H)=O,"CC[C@H](C)[C@@H](N)C1=N[C@H](CS1)C([*])=O |$;;;;;;;;;;;;_R2;$,t:6|",Backbone
X2877,CC(=O)N(CC(H)=O)C(=O)C=Cc1ccccc1;;;;;;;;;;;;;;;;;,"CC(=O)N(CC([*])=O)C(=O)C=Cc1ccccc1 |w:10.9,$;;;;;;_R2;;;;;;;;;;;$|",Backbone
