Symbol,CXSMILES,Monomer_Type,R1,R2,R3,processed_smiles,failure_reason
X106,"FC(F)(F)C1(N=N1)c1ccc(C[C@H](N[*])C([*])=O)cc1 |$;;;;;;;;;;;;;;_R1;;_R2;;;$,c:5|",Backbone,H,OH,-,"FC(F)(F)C1(N=N1)c1ccc(C[C@H](NH)C(H)=O)cc1 |$;;;;;;;;;;;;;;_R1;;_R2;;;$,c:5|",complex_structure
X2795,"CC(=O)N([C@@H](Cc1ccc(F)cc1)C([*])=O)C(=O)C=Cc1ccc(C)cc1 |w:18.18,$;;;;;;;;;;;;;;_R2;;;;;;;;;;;;$|",Backbone,-,OH,-,"CC(=O)N([C@@H](Cc1ccc(F)cc1)C(H)=O)C(=O)C=Cc1ccc(C)cc1 |w:18.18,$;;;;;;;;;;;;;;_R2;;;;;;;;;;;;$|",complex_structure
X2088,"CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@H](CC[C@]4(C)[C@H]3CC[C@]12C)OC(=O)CSC[C@H](N[*])C([*])=O |$;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;_R1;;_R2;$,t:14|",Backbone,H,OH,-,"CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@H](CC[C@]4(C)[C@H]3CC[C@]12C)OC(=O)CSC[C@H](NH)C(H)=O |$;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;_R1;;_R2;$,t:14|",complex_structure
X2082,"CCOC(=O)C=CCC[C@H](NC(=O)OCc1ccccc1)C([*])=O |w:6.6,$;;;;;;;;;;;;;;;;;;;;;;_R2;$|",Backbone,-,OH,-,"CCOC(=O)C=CCC[C@H](NC(=O)OCc1ccccc1)C(H)=O |w:6.6,$;;;;;;;;;;;;;;;;;;;;;;_R2;$|",complex_structure
X2191,"CC(C)C[C@H](NC(=O)N[C@@H]([C@@H]1CCN=C(N)N1)C([*])=O)C=O |$;;;;;;;;;;;;;;;;;;_R2;;;$,t:13|",Backbone,-,OH,-,"CC(C)C[C@H](NC(=O)N[C@@H]([C@@H]1CCN=C(N)N1)C(H)=O)C=O |$;;;;;;;;;;;;;;;;;;_R2;;;$,t:13|",complex_structure
X631,"[*]N[C@H](CCCCN=C(NCc1ccccn1)NC#N)C([*])=O |w:7.6,$_R1;;;;;;;;;;;;;;;;;;;;;_R2;$|",Backbone,H,OH,-,"HN[C@H](CCCCN=C(NCc1ccccn1)NC#N)C(H)=O |w:7.6,$_R1;;;;;;;;;;;;;;;;;;;;;_R2;$|",complex_structure
X1619,"COC(=O)[C@H](CSCC=C(C)COCc1cccc(c1)C(=O)c1ccccc1)N[*] |w:8.7,$;;;;;;;;;;;;;;;;;;;;;;;;;;;;;_R1$|",Backbone,H,-,-,"COC(=O)[C@H](CSCC=C(C)COCc1cccc(c1)C(=O)c1ccccc1)NH |w:8.7,$;;;;;;;;;;;;;;;;;;;;;;;;;;;;;_R1$|",complex_structure
X2506,"Oc1ccc(CC=N[C@@H](Cc2ccc(OP(O)(O)=O)cc2)C([*])=O)cc1O |w:6.5,$;;;;;;;;;;;;;;;;;;;;;;_R2;;;;$|",Backbone,-,OH,-,"Oc1ccc(CC=N[C@@H](Cc2ccc(OP(O)(O)=O)cc2)C(H)=O)cc1O |w:6.5,$;;;;;;;;;;;;;;;;;;;;;;_R2;;;;$|",complex_structure
X892,"NC1=N[C@@H](CS1)C([*])=O |$;;;;;;;_R2;$,t:1|",Backbone,-,OH,-,"NC1=N[C@@H](CS1)C(H)=O |$;;;;;;;_R2;$,t:1|",complex_structure
X727,"ClC=CCNCCCC[C@H](N[*])C([*])=O |w:1.0,$;;;;;;;;;;;_R1;;_R2;$|",Backbone,H,OH,-,"ClC=CCNCCCC[C@H](NH)C(H)=O |w:1.0,$;;;;;;;;;;;_R1;;_R2;$|",complex_structure
X1712,"[*]N1N=CCC[C@@H]1C([*])=O |$_R1;;;;;;;;_R2;$,c:2|",Backbone,H,OH,-,"HN1N=CCC[C@@H]1C(H)=O |$_R1;;;;;;;;_R2;$,c:2|",complex_structure
X2794,"CC(=O)N([C@@H](Cc1ccc(F)cc1)C([*])=O)C(=O)C=Cc1ccccc1 |w:18.18,$;;;;;;;;;;;;;;_R2;;;;;;;;;;;$|",Backbone,-,OH,-,"CC(=O)N([C@@H](Cc1ccc(F)cc1)C(H)=O)C(=O)C=Cc1ccccc1 |w:18.18,$;;;;;;;;;;;;;;_R2;;;;;;;;;;;$|",complex_structure
X2797,"CC(=O)N([C@H](Cc1cccnc1)C([*])=O)C(=O)C=Cc1ccccc1 |w:17.17,$;;;;;;;;;;;;;_R2;;;;;;;;;;;$|",Backbone,-,OH,-,"CC(=O)N([C@H](Cc1cccnc1)C(H)=O)C(=O)C=Cc1ccccc1 |w:17.17,$;;;;;;;;;;;;;_R2;;;;;;;;;;;$|",complex_structure
X2847,"CN(C)c1ccc2c(-c3ccc(NC(=S)N[C@@H](CC(O)=O)C([*])=O)cc3)c3ccc(cc3oc2c1)=[N+](C)C |w:35.39,$;;;;;;;;;;;;;;;;;;;;;;_R2;;;;;;;;;;;;;;;$|",Backbone,-,OH,-,"CN(C)c1ccc2c(-c3ccc(NC(=S)N[C@@H](CC(O)=O)C(H)=O)cc3)c3ccc(cc3oc2c1)=[N+](C)C |w:35.39,$;;;;;;;;;;;;;;;;;;;;;;_R2;;;;;;;;;;;;;;;$|",complex_structure
