symbol,smiles,cxsmiles,monomer_type,embedding_mean,embedding_std,embedding_norm,embedding_min,embedding_max
X2615,CCOC(=O)[C@H]1[C@@H](N1H)C(=O)OCC,CCOC(=O)[C@H]1[C@@H](N1[*])C(=O)OCC |$;;;;;;;;_R1;;;;;$|,Backbone,-0.0035472338,0.6117846,16.954557,-1.664177,8.924128
X2745,HN1CCS[C@@H]1C(H)=O,[*]N1CCS[C@@H]1C([*])=O |$_R1;;;;;;;_R2;$|,Backbone,-0.0029994615,0.6542637,18.131676,-2.4222329,9.314962
X2692,C[C@@](CCCC(O)=O)(NC(=O)OCC1c2ccccc2-c2ccccc12)C(H)=O,C[C@@](CCCC(O)=O)(NC(=O)OCC1c2ccccc2-c2ccccc12)C([*])=O |$;;;;;;;;;;;;;;;;;;;;;;;;;;;_R2;$|,Backbone,-0.0023415799,0.5736658,15.8980255,-2.5837595,5.7882595
X2683,OC(=O)C[C@H](NH)C(=O)OCCc1ccc(F)cc1,OC(=O)C[C@H](N[*])C(=O)OCCc1ccc(F)cc1 |$;;;;;;_R1;;;;;;;;;;;;$|,Backbone,-0.0025342822,0.5616378,15.564723,-2.2595248,6.0704784
X2622,Cc1cc(O)cc(C)c1C[C@H](NC(N)=N)C(H)=O,Cc1cc(O)cc(C)c1C[C@H](NC(N)=N)C([*])=O |$;;;;;;;;;;;;;;;;_R2;$|,Backbone,-0.0031185069,0.56694585,15.711902,-2.2345312,7.7755976
X2695,CC(C)OC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(H)=O,CC(C)OC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C([*])=O |$;;;;;;;;;;;;;;;;;;;_R2;$|,Backbone,-0.0026553683,0.58762443,16.284893,-2.5388021,8.228162
X2734,HN[C@@H](Cc1ccc2ccccc2c1)C=O,[*]N[C@@H](Cc1ccc2ccccc2c1)C=O |$_R1;;;;;;;;;;;;;;;$|,Backbone,-0.0031960655,0.6300152,17.459717,-3.6138847,9.273705
X2626,NCC[C@H](NS(=O)(=O)c1cccc(c1)-c1ccccc1)C(H)=O,NCC[C@H](NS(=O)(=O)c1cccc(c1)-c1ccccc1)C([*])=O |$;;;;;;;;;;;;;;;;;;;;;_R2;$|,Backbone,-0.002388264,0.5436228,15.065462,-2.699836,6.349354
I_OBzl,CC[C@H](C)[C@H](NH)C(=O)OCc1ccccc1,CC[C@H](C)[C@H](N[*])C(=O)OCc1ccccc1 |$;;;;;;_R1;;;;;;;;;;$|,Backbone,-0.0022032235,0.5869159,16.265205,-2.7136276,6.8005033
X2539,OC(=O)C[C@@H]1N(H)C[C@H](Cc2ccccc2)NC1=O,OC(=O)C[C@@H]1N([*])C[C@H](Cc2ccccc2)NC1=O |$;;;;;;_R1;;;;;;;;;;;;$|,Backbone,-0.0032521922,0.57682365,15.985659,-2.323744,8.209608
